identifier,name
7201538008,"Qiu, Larry D."
7201610801,"Ferguson, Brian S."
7201613669,"Payne, A. Abigail"
7201613669,"Payne, A. Abigail"
7201672888,"Friedman, Benjamin M."
7201695819,"Perkins, Dwight H."
7201728318,"Booth, Alison L."
7201833855,"Horowitz, Joel L."
7201841055,"Desai, Mihir A."
7201874408,"Powell, Lisa M."
7201897007,"Frey, Bruno S."
7201943246,"Barrett, Christopher B."
7201980342,"Fernández, Raquel"
7201980342,"Fernández, Raquel"
7201982722,"Barrett, Scott A."
7201985547,"Samuelson, Larry W."
7202023758,"Rizzo, Mario J."
7202114481,"Hobbs, Jill E."
7202122235,"Stock, James H."
7202122235,"Stock, James H."
7202137891,"Goldman, Dana"
7202181658,"Ray, Debraj"
7202230732,"Burton, Peter S."
7202292836,"Palmer, Karen L."
7202308604,"Bertrand, Marianne"
7202328649,"Jenkins, Stephen P."
7202399733,"Armstrong, Mark"
7202399733,"Armstrong, Mark"
7202434234,"Elliott, Graham"
7202451880,"Owen, P. Dorian"
7202469992,"Ng, Yew kwang"
7202490225,"Schubert, Renate"
7202498844,"Burgess, Robin"
7202579738,"Grossman, Michael"
7202580333,"Pearce, David G."
7202601275,"Hart, Sergiu"
7202634709,"Currie, Janet M."
7202731518,"Brandt, Loren"
7202789820,"Katz, Lawrence F."
7202968127,"Sutton, Matt"
7203026294,"Moser, Edvard I."
7203049407,"Abraham, Katharine G."
7203061089,"Rosenthal, Meredith B."
7401488741,"Evans, Lewis T."
7401499166,"Snyder, James M."
7401505195,"Graham, Carol"
7401509168,"Kitamura, Yuichi"
7401532406,"Lane, Julia I."
7401576349,"Hansen, Lars Peter"
7401594388,"Harrison, Mark"
7401691878,"Harrison, Ann E."
7401702574,"Strauss, Jack K."
7401720259,"Hall, Bronwyn H."
7401729868,"Davidson, Russell"
7401765384,"Wei, Shang Jin"
7401890854,"Wilkinson, Jenny"
7401896887,"Porter, Robert H."
7401896887,"Porter, Robert H."
7402109381,"Rubin, Richard H."
7402165612,"Fox, Craig R."
7402181236,"Okazaki, Tetsuji"
7402210803,"Bütler, Monika"
7402219400,"De Vries, Jan J."
7402226219,"White, Lawrence J."
7402394632,"Morgan, Paul V."
7402404608,"Frank, Robert H."
7402542831,"Fang, Hanming"
7402558088,"Harrison, Glenn W."
7402754623,"Gordon, Roger H."
7402794720,"Fan, Jianqing"
7402848561,"Wright, Gavin"
7402857971,"Hamilton, Darrick"
7402886108,"Banerjee, Abhijit V."
7402886108,"Banerjee, Abhijit V."
7402886108,"Banerjee, Abhijit V."
7402920213,"Sen, Partha"
7402920213,"Sen, Partha"
7403019055,"Hansen, Bruce E."
7403051360,"Roth, Alvin E E."
7403076046,"Jackson, C. Kirabo"
7403076046,"Jackson, C. Kirabo"
7403102169,"Watson, Mark W."
7403166005,"Levine, David K."
7403166005,"Levine, David K."
7403288842,"Hall, Alastair R."
7403297046,"Anderson, Terry L."
7403325680,"Morris, Stephen A."
7403325680,"Morris, Stephen A."
7403325680,"Morris, Stephen A."
7403358368,"Ng, Serena"
7403358368,"Ng, Serena"
7403358368,"Ng, Serena"
7403442513,"Evans, William N."
7403492092,"Fan, Yanqin"
7403567872,"Yao, Yang"
7403567872,"Yao, Yang"
7403567872,"Yao, Yang"
7403704966,"Hamilton, James D."
7403704966,"Hamilton, James D."
7403713601,"Chang, Roberto"
7403735746,"Evans, George W."
7403912861,"Wright, Randall D."
7403912861,"Wright, Randall D."
7404069278,"Jackson, Matthew O."
7404069278,"Jackson, Matthew O."
7404069278,"Jackson, Matthew O."
7404069278,"Jackson, Matthew O."
7404720131,"Hughes, Joseph P."
7404982528,"Davies, James B."
7405407924,"Taylor, John B."
7406738737,"Smith, Gregor W."
7410310258,"Zhao, Jinhua"
7410394025,"Smith, Lones E."
7501720743,"Lin, Justin Yifu"
7801332902,"Ritschl, Albrecht O."
